City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
490,Bubaque,GW,78.91,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
492,Vung Tau,VN,77.94,overcast clouds,10.346,107.0843,Green hotel
495,Benemerito De Las Americas,MX,73.83,few clouds,16.5167,-90.6439,"Tres Lagunas, Selva Lacandona"
498,Akyab,MM,65.84,few clouds,20.15,92.9,Hotel Memory
501,Cape Canaveral,US,77.07,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
502,San Cristobal,VE,67.59,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
506,Lingao,CN,65.64,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
507,Pochutla,MX,80.82,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
510,Pimentel,PE,67.55,overcast clouds,-6.8367,-79.9342,Casona Del Muelle
513,Kloulklubed,PW,84.42,few clouds,7.0419,134.2556,Storyboard Beach Resort
515,Playas,EC,73.45,overcast clouds,-2.6333,-80.3833,Hostal Promenade
516,Ternate,ID,84.27,scattered clouds,0.8,127.4,Sahid Bela Ternate Hotel
520,Dickinson,US,62.98,overcast clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
523,Tabou,CI,80.17,overcast clouds,4.423,-7.3528,hotêl doufoulougou
526,Namatanai,PG,79.5,light rain,-3.6667,152.4333,Seagulls Inn Namatani
530,Razole,IN,70.09,clear sky,16.4833,81.8333,Sterling Palavelli Godavari
534,Manado,ID,84.97,few clouds,1.487,124.8455,Aryaduta Hotel
536,Nouakchott,MR,64.33,overcast clouds,18.0858,-15.9785,HOTEL IMAN
538,Manggar,ID,80.11,light rain,-2.8833,108.2667,Guest Hotel
539,Isangel,VU,78.58,light rain,-19.55,169.2667,Tanna Lodge
542,Atlantis,ZA,62.19,clear sky,-33.5667,18.4834,Sunrise Farm
543,Conceicao Da Barra,BR,73.15,overcast clouds,-18.5933,-39.7322,Cricaré Praia Hotel
545,Dong Hoi,VN,67.41,overcast clouds,17.4833,106.6,Nam Long Hotel
549,Ambulu,ID,81.34,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
557,Delta Del Tigre,UY,72.18,clear sky,-34.7633,-56.3853,FINCA SUAREZ
559,Borba,BR,75.99,heavy intensity rain,-4.3878,-59.5939,Hotel da Amazônia
563,Kamakwie,SL,74.1,clear sky,9.5,-12.2333,White House Hotel
566,Honda,CO,74.79,overcast clouds,5.2086,-74.7358,Hotel Campestre el Molino
567,Puerto Quijarro,BO,75.52,overcast clouds,-17.7833,-57.7667,Hotel palance
568,Russell,US,65.97,heavy intensity rain,32.3502,-85.1999,Macs
569,Inhambane,MZ,68.81,overcast clouds,-23.865,35.3833,Oceano
570,Bria,CF,70.47,overcast clouds,6.5423,21.9863,WFP Guesthouse
571,Saint-Leu,RE,73.96,scattered clouds,-21.15,55.2833,La Caz Oceane
573,Honiara,SB,82.67,overcast clouds,-9.4333,159.95,Heritage Park Hotel
574,Poum,NC,79.07,scattered clouds,-20.2333,164.0167,Gîte kajeon
576,Ovalle,CL,73.49,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
581,Malpe,IN,74.5,clear sky,13.35,74.7167,Hotel Sri Krishna Residency
582,Havelock,US,67.98,overcast clouds,34.8791,-76.9013,Sherwood Motel
583,Monte Carmelo,BR,68.38,heavy intensity rain,-18.7247,-47.4986,Park hotel
585,Palmetto,US,76.14,clear sky,27.5214,-82.5723,Courtyard by Marriott Bradenton Sarasota/Riverfront
586,Camacha,PT,64.53,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
587,Upington,ZA,68.11,overcast clouds,-28.4478,21.2561,River Place Manor
588,Pemangkat,ID,79.93,overcast clouds,1.1667,108.9667,Ramah Kost KITA
591,Pontes E Lacerda,BR,70.63,overcast clouds,-15.2261,-59.3353,Hotel Bressan
592,Iquique,CL,66.24,overcast clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
593,Singkang,MY,74.98,overcast clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
598,Nanakuli,US,84.15,clear sky,21.3906,-158.1547,Camp Pālehua
599,Cabedelo,BR,79.47,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
610,Tandalti,SD,64.33,clear sky,13.0167,31.8667,منزل : الهادي محمد مساعد
611,Sechura,PE,70.57,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
612,Kyenjojo,UG,61.74,light rain,0.6328,30.6214,Tropical Gardens
614,Buin,CL,77.74,clear sky,-33.7333,-70.75,Paihuen
615,Porto Novo,BJ,77.49,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
616,Mancio Lima,BR,75.29,broken clouds,-7.6142,-72.8958,Hotel e Distribuidora Voyage
617,Lima,PE,69.91,scattered clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
621,Karaton,ID,82.56,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
622,Santacruz,CO,60.08,light rain,1.5209,-77.2621,La Orqueta
627,Key Largo,US,78.8,overcast clouds,25.0865,-80.4473,Bayside Inn Key Largo
633,Mlonggo,ID,82.29,overcast clouds,-6.5333,110.7,Asia Metal Art
635,Papar,MY,78.8,light rain,5.7333,115.9333,Koposizon Homestay
636,Weligama,LK,74.66,broken clouds,5.9667,80.4167,Weligama Bay Resort
637,Tarakan,ID,76.5,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
644,Riyadh,SA,63.63,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
