City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
415,Kingaroy,0,AU,2021-12-15 00:48:40,47,-26.5333,151.8333,77.04,5.75
416,Vao,32,NC,2021-12-15 00:48:41,65,-22.6667,167.4833,76.03,18.32
417,Smoky Lake,100,CA,2021-12-15 00:48:41,84,54.1169,-112.4686,0.36,8.05
418,Katangli,5,RU,2021-12-15 00:48:41,88,51.7102,143.2326,1.72,8.01
419,Fairview,1,US,2021-12-15 00:48:42,37,40.8126,-73.999,49.21,5.75
420,Taksimo,71,RU,2021-12-15 00:48:42,93,56.3444,114.8794,-28.71,2.01
421,Constitucion,2,CL,2021-12-15 00:48:09,79,-35.3333,-72.4167,54.0,12.35
422,Soe,1,ID,2021-12-15 00:48:43,50,-9.8607,124.284,80.62,1.32
423,Kardla,99,EE,2021-12-15 00:48:43,93,58.9978,22.7492,37.02,8.81
424,Atar,0,MR,2021-12-15 00:48:43,19,20.5169,-13.0499,67.8,3.87
425,Salinopolis,100,BR,2021-12-15 00:44:17,82,-0.6136,-47.3561,80.49,11.79
426,Bandarbeyla,24,SO,2021-12-15 00:48:44,69,9.4942,50.8122,74.61,14.16
427,Concepcion Del Oro,74,MX,2021-12-15 00:46:13,35,24.6333,-101.4167,59.85,7.72
428,Wuzhou,5,CN,2021-12-15 00:48:44,62,23.4833,111.3167,64.47,1.72
429,Olinda,40,BR,2021-12-15 00:48:44,69,-8.0089,-34.8553,82.13,9.22
430,Asau,90,RO,2021-12-15 00:48:45,96,46.4333,26.4,33.76,2.13
431,Burns Lake,100,CA,2021-12-15 00:48:45,74,54.2331,-125.7533,4.42,4.27
432,Dunedin,100,NZ,2021-12-15 00:48:45,83,-45.8742,170.5036,56.8,4.0
433,Norman Wells,40,CA,2021-12-15 00:48:46,67,65.282,-126.8329,-36.36,2.3
434,Pozoblanco,8,ES,2021-12-15 00:48:46,73,38.3791,-4.8483,32.58,2.44
435,Ust-Kulom,99,RU,2021-12-15 00:48:46,95,61.6864,53.6902,18.81,6.55
436,Shunyi,0,CN,2021-12-15 00:48:47,93,40.125,116.6453,22.95,2.24
437,Filadelfia,1,US,2021-12-15 00:45:58,59,39.9523,-75.1638,47.46,0.0
438,Inowroclaw,100,PL,2021-12-15 00:48:47,100,52.7989,18.2639,39.11,5.73
439,Tynda,22,RU,2021-12-15 00:48:47,86,55.1667,124.7167,-27.36,4.09
440,Genhe,67,CN,2021-12-15 00:48:48,93,50.7833,121.5167,-11.16,0.69
441,Pangody,97,RU,2021-12-15 00:48:48,96,65.85,74.4859,6.67,5.68
442,North Platte,1,US,2021-12-15 00:45:49,43,41.1239,-100.7654,50.25,5.01
443,Sioux Lookout,40,CA,2021-12-15 00:48:48,80,50.1001,-91.917,32.38,8.05
444,Wufeng,100,CN,2021-12-15 00:48:49,98,27.45,104.8333,37.17,2.77
445,Privolnyy,100,RU,2021-12-15 00:48:49,80,44.0998,46.6587,47.39,23.82
446,Nemuro,4,JP,2021-12-15 00:48:49,84,43.3236,145.575,37.83,14.52
447,Port Hardy,90,CA,2021-12-15 00:45:05,87,50.6996,-127.4199,41.0,14.97
448,Kendari,100,ID,2021-12-15 00:48:50,75,-3.945,122.4989,83.77,2.57
449,Anloga,100,GH,2021-12-15 00:48:50,83,5.7947,0.8973,82.62,10.04
450,Nyagan,100,RU,2021-12-15 00:48:50,95,62.1406,65.3936,17.22,5.57
451,Kannur,100,IN,2021-12-15 00:48:51,76,11.8675,75.3576,75.58,8.52
452,Talnakh,100,RU,2021-12-15 00:48:51,98,69.4865,88.3972,-9.8,15.35
453,Muros,33,ES,2021-12-15 00:48:51,96,42.7762,-9.0603,51.24,5.55
454,Grand Gaube,6,MU,2021-12-15 00:48:52,71,-20.0064,57.6608,77.4,11.99
455,Hobyo,97,SO,2021-12-15 00:48:52,75,5.3505,48.5268,78.66,19.69
456,Novo Aripuana,78,BR,2021-12-15 00:48:52,97,-5.1206,-60.3797,74.84,0.74
457,Iqaluit,90,CA,2021-12-15 00:48:53,78,63.7506,-68.5145,-2.47,19.57
458,Lagoa,25,PT,2021-12-15 00:49:53,69,39.05,-27.9833,60.3,12.84
459,Kapoeta,47,SS,2021-12-15 00:49:53,47,4.7717,33.5903,80.31,14.27
460,Te Anau,100,NZ,2021-12-15 00:48:20,46,-45.4167,167.7167,69.39,2.01
461,Tateyama,0,JP,2021-12-15 00:49:54,56,34.9833,139.8667,53.87,13.76
462,Siverek,83,TR,2021-12-15 00:49:54,45,37.755,39.3167,47.01,9.13
463,Nuuk,90,GL,2021-12-15 00:49:54,86,64.1835,-51.7216,25.41,3.44
464,Yarada,40,IN,2021-12-15 00:49:55,83,17.65,83.2667,68.32,2.3
465,Walvis Bay,1,NA,2021-12-15 00:49:55,82,-22.9575,14.5053,59.09,4.61
466,Loandjili,40,CG,2021-12-15 00:49:55,94,-4.7561,11.8578,78.91,2.3
